PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2024-11-21,20:14.6,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,138.32703,-1.934592399,-0.86428889,1977.868849,187.2184141,12:15,1.804694493,0.342345442,2.057377296,-48.73435,45.0492,5.71268,0.77850531,0.158840807,124.97212,-5.613589602,-0.431071202,0.437338779,-3.89918,26.74304,-0.32537434,15.24,1.763823001,0.557461068,-38.13498349,-1.440428727,-0.730191501,8.805272529,-4.798540344,414f73d9-f1af-45f7-b26c-b67c6e468d96,2f76f050-0462-4731-b0b9-606125316e4e,138.70254,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
2,2024-11-21,20:34.2,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,137.39784,-1.231474109,-0.282400036,1906.93619,182.1009014,12:00,1.806690068,0.366420735,2.067694928,-46.32233,48.33755,1.77572,1.000796164,0.305609569,124.27394,-4.732530571,-0.147786087,0.439377317,-1.21939,28.00106,-0.360921318,15.24,1.78022194,0.181337888,-37.90239644,-0.957667104,-0.226074669,8.544032948,-4.615267905,a0e99b67-f135-46ee-befa-5c8b32f8c3d8,2f76f050-0462-4731-b0b9-606125316e4e,138.05902,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
3,2024-11-21,20:55.8,"Park, Jun Yong",54466,Right,SAM_LIO,,Curveball,Live,,116.82318,1.136729387,0.367652452,2210.600596,32.93581176,7:00,1.822707576,0.324585385,1.777691333,-164.45449,-28.76137,-18.55396,0.500219483,0.243194246,107.32107,-10.96751129,-1.013405581,0.526057942,10.30289,-16.41789,-0.332412936,15.24,1.839414751,-0.147451918,-32.17760592,0.115304598,1.37971729,6.047805223,-12.00526151,2ae99612-296c-4c83-ae10-f884bd3ab1fb,2f76f050-0462-4731-b0b9-606125316e4e,115.31049,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
4,2024-11-21,21:13.3,"Park, Jun Yong",54466,Right,SAM_LIO,,Curveball,Live,,115.94034,2.148599811,0.547609235,2329.275683,31.5922482,7:00,1.82695541,0.300271684,1.761635317,-176.42663,-37.52817,-22.98905,0.672251175,0.225663836,105.84966,-10.87340418,-1.16672799,0.53223493,12.85487,-22.02696,-0.312384014,15.24,1.86837155,-0.232055513,-31.90213279,0.637786749,1.68258604,6.224180095,-12.6897796,9612bc61-1c26-42c7-9cc0-3bcf71952391,2f76f050-0462-4731-b0b9-606125316e4e,113.97223,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
5,2024-11-21,21:36.2,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,138.78202,-2.419168679,-1.915982404,1929.237053,198.0829327,12:30,1.785353517,0.366888776,2.056876708,-48.15953,44.77839,14.63477,0.629476676,-0.020377921,125.93348,-6.04310009,-0.809223991,0.435362625,-9.66989,26.88002,-0.329333659,15.24,1.734776896,1.233245046,-38.24070717,-1.767884496,-1.82938432,8.523950642,-4.721393193,32770387-64e5-4864-8f63-4440756c8839,2f76f050-0462-4731-b0b9-606125316e4e,139.33213,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
6,2024-11-21,21:53.2,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,138.32018,-1.875831014,-2.010711603,1935.795559,194.0860845,12:30,1.768517281,0.357645761,2.055523121,-53.51117,39.73398,9.98766,0.710615492,-0.102543435,125.92508,-5.897618703,-1.256855226,0.436081631,-7.0979,23.57174,-0.317935622,15.24,1.72849275,1.307296621,-38.13158617,-1.417989954,-1.339621127,8.237818309,-5.357838822,1a9e3894-35af-4590-96b3-80358c9d2909,2f76f050-0462-4731-b0b9-606125316e4e,139.1024,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
7,2024-11-21,22:16.9,"Park, Jun Yong",54466,Right,SAM_LIO,,Slider,Live,,126.46268,0.060279877,-0.169833402,2156.606924,112.3947897,9:45,1.762719528,0.360133282,1.953486722,-104.086,7.08535,-17.41972,0.738750534,0.138347352,117.38333,-7.645217847,-1.467167102,0.476158,9.44397,3.84693,-0.355465158,15.24,1.758215562,0.15819151,-34.91739004,-0.29005109,1.519059423,5.927246521,-9.18787312,5d08f6bd-f7c7-456d-ba43-9ab55fbb5135,2f76f050-0462-4731-b0b9-606125316e4e,127.39469,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
8,2024-11-21,22:37.4,"Park, Jun Yong",54466,Right,SAM_LIO,,Slider,Live,,125.76825,0.17050502,-0.885160724,2132.197276,95.6755484,9:15,1.803575021,0.324514903,1.928230692,-111.94961,1.2413,-13.43533,0.731936691,-0.058277134,116.44202,-8.113177335,-1.885787955,0.480463543,6.75812,0.56478,-0.304089426,15.24,1.800890773,0.578771766,-34.70876649,-0.2509491,1.069877203,6.092807513,-9.717239926,2e89d2c2-743f-4f16-a8ac-3efe7b579536,2f76f050-0462-4731-b0b9-606125316e4e,126.25308,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
9,2024-11-21,22:59.7,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,138.06995,-1.716461011,0.152441781,2053.593834,184.864292,12:15,1.789539435,0.394528716,2.0924671,-43.30981,50.05076,4.2642,0.879495082,0.479516381,125.08782,-4.990051594,0.475954337,0.436351432,-2.26804,29.40491,-0.397663575,15.24,1.754439183,-0.114320506,-38.08821142,-1.273244894,-0.425221325,8.529117832,-4.29369675,ccd8ff29-afbd-4cfb-a242-a91c22c343a6,2f76f050-0462-4731-b0b9-606125316e4e,139.01639,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
10,2024-11-21,23:18.7,"Park, Jun Yong",54466,Right,SAM_LIO,,Fastball,Live,,137.29748,-2.855516256,-1.459292628,1970.44457,191.2793079,12:30,1.777957817,0.364375606,2.059758284,-55.01751,39.7331,7.931,0.43202496,0.03739957,125.0783,-6.982451008,-0.859977048,0.439587824,-5.54558,24.35646,-0.335698406,15.24,1.718495235,0.939127802,-37.83272341,-2.05875293,-1.029254903,8.180553588,-5.286116069,f7cde2eb-8388-47d1-a897-07c5d50543c1,2f76f050-0462-4731-b0b9-606125316e4e,137.9929,Pitching,24050022,,,,,,,,,,,,,,,,,,,,,,,
